"IP","MAC","Vendor","Puertos"
"192.169.100.1","30:DE:4B:87:55:FB","TP-Link Limited","22/tcp, 53/tcp, 80/tcp, 443/tcp"
"192.169.100.11","50:C7:BF:CE:B0:32","TP-Link Technologies","22/tcp, 80/tcp, 443/tcp"
"192.169.100.13","D4:CA:6D:E0:08:9D","Routerboard.com","21/tcp, 22/tcp, 23/tcp, 53/tcp, 80/tcp"
"192.169.100.14","6C:3B:6B:0E:53:43","Routerboard.com","21/tcp, 22/tcp, 23/tcp, 53/tcp, 80/tcp"
"192.169.100.31","6C:4B:90:81:0A:1E","LiteON","22/tcp, 53/tcp, 80/tcp"
"192.169.100.41","6C:4B:90:3F:7D:5E","LiteON","7/tcp, 9/tcp, 13/tcp, 17/tcp, 19/tcp, 22/tcp, 80/tcp, 135/tcp, 139/tcp, 445/tcp, 902/tcp, 912/tcp"
"192.169.100.60","5E:C6:A3:97:41:53","","Ninguno"
"192.169.100.61","A4:A9:30:79:3C:E6","Beijing Xiaomi Mobile Software","Ninguno"
"192.169.100.104","A4:A9:30:79:3C:E6","Beijing Xiaomi Mobile Software","Ninguno"
"192.169.100.110","44:07:0B:D7:85:1C","Google","Ninguno"
"192.169.100.204","F0:9F:C2:D6:17:EE","Ubiquiti","22/tcp"
"192.169.100.38","","","Ninguno"
